JNose-AR,Manual-AR,Lines-CTL,JNose-CTL,Manual-CTL,JNose-CI,Manual-CI,JNose-DA,Manual-DA,JNose-MNT,Manual-MNT,JNose-VT,Manual-VT,JNose-ST,Manual-ST,JNose-EmT,Manual-EmT,JNose-UT,Manual-UT,JNose-PS,Manual-PS,JNose-ECT,Manual-ECT,JNose-SE,Manual-SE,JNose-RA,Manual-RA,JNose-RO,Manual-RO,JNose-GF,Manual-GF,JNose-MG,Manual-MG,JNose-LT,Manual-LT,JNose-ET,Manual-ET
TRUE,TRUE,74-76,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,73-75,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,77-83,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,46-48,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,28-30,TRUE,TRUE,,,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,94-96,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,41-42,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,38-49,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,22-24,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,52-54,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,57-59,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,64-66,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,TRUE
TRUE,TRUE,67-69,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,TRUE
TRUE,TRUE,83-87,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,TRUE
TRUE,TRUE,78-89,TRUE,TRUE,,,,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,74-94,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,76-81,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE
TRUE,TRUE,39-62,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE
