Line-EmT,JNose-EmT,Manual-EmT
96-100,TRUE,TRUE
24-27,TRUE,TRUE
13-16,TRUE,TRUE
18-21,TRUE,TRUE
23-25,TRUE,TRUE
56-70,TRUE,TRUE
77-93,TRUE,TRUE
