Line-UT,JNose-UT,Manual-UT
22-39,TRUE,TRUE
39-52,TRUE,TRUE
26-31,TRUE,TRUE
57-67,TRUE,TRUE
82-93,TRUE,TRUE
50-63,TRUE,TRUE
27-31,TRUE,TRUE
13-17,TRUE,TRUE
49-65,TRUE,TRUE
79-82,TRUE,TRUE
22-47,TRUE,TRUE
