Lines-DA,JNose-DA,Manual-DA
"17, 20",TRUE,TRUE
"-53, 54-",FALSE,TRUE
"53, 65",TRUE,TRUE
"56, 62",TRUE,TRUE
"39, 45",TRUE,TRUE
"41, 47",TRUE,TRUE
"42, 48",TRUE,TRUE
"16, 19",TRUE,TRUE
"44, 46",TRUE,TRUE
"30, 44",TRUE,TRUE
"31, 45",TRUE,TRUE
"32, 46",TRUE,TRUE
"33, 47",TRUE,TRUE
"36, 50",TRUE,TRUE
"37, 51",TRUE,TRUE
"38, 52",TRUE,TRUE
"39, 53",TRUE,TRUE
