Line-GF,JNose-GF,Manual-GF
67,TRUE,TRUE
77,FALSE,TRUE
80,FALSE,TRUE
82,TRUE,TRUE
60,TRUE,TRUE
61,TRUE,TRUE
62,TRUE,TRUE
66,TRUE,TRUE
67,TRUE,TRUE
51,TRUE,TRUE
50,TRUE,TRUE
52,TRUE,TRUE
30,TRUE,TRUE
40,TRUE,TRUE
46,TRUE,TRUE
69,TRUE,TRUE
65,TRUE,TRUE
66,TRUE,TRUE
67,TRUE,TRUE
68,TRUE,TRUE
